ibge_code,municipio,regiao_intermediaria_nome,rainfall_relative_risk,rainfall_relative_risk_q025,rainfall_relative_risk_q975
3305133,sao jose de uba,Campos dos Goytacazes,1.2498524744937602,0.8678777487224352,1.804569101313495
3303302,niteroi,Rio de Janeiro,1.2365408848418407,0.8659383815609639,1.770513126435335
3304300,rio bonito,Rio de Janeiro,1.2299010750408608,0.8477863804472252,1.7886459963829762
3304110,porto real,Volta Redonda - Barra Mansa,1.2287731833008726,0.8724164594222216,1.735749288075677
3302056,italva,Campos dos Goytacazes,1.2213986111617987,0.8534929588465183,1.7525474665355005
3302700,marica,Rio de Janeiro,1.2108341095014665,0.8431434651834233,1.7434118450153469
3301900,itaborai,Rio de Janeiro,1.20981393551557,0.8519433583574048,1.7227957768657027
3304524,rio das ostras,Macaé - Rio das Ostras - Cabo Frio,1.1980405447586315,0.8479688243935805,1.6974904137182263
3303906,petropolis,Petrópolis,1.1970800826914243,0.860365108198156,1.670820821672999
3302254,itatiaia,Volta Redonda - Barra Mansa,1.1947514365846323,0.8597513697907737,1.6655557491885513
3303609,paracambi,Rio de Janeiro,1.1817286689758961,0.8158381899026725,1.7159752914324378
3302403,macae,Macaé - Rio das Ostras - Cabo Frio,1.168846039282505,0.8325017995751186,1.645967772851418
3304151,quissama,Macaé - Rio das Ostras - Cabo Frio,1.1669224224139494,0.7828790420539934,1.7430841624528675
3301306,casimiro de abreu,Macaé - Rio das Ostras - Cabo Frio,1.1503206227307212,0.8167772102861731,1.6248084474141233
3304557,rio de janeiro,Rio de Janeiro,1.1305939380939338,0.8037410640597727,1.595050278005163
3304904,sao goncalo,Rio de Janeiro,1.125607868631508,0.7881205837609013,1.6119427977589416
3303401,nova friburgo,Petrópolis,1.1211170087692337,0.8109083338549775,1.5550804325670027
3304201,resende,Volta Redonda - Barra Mansa,1.1188758285084495,0.8098060283453739,1.5509986476478992
3301009,campos dos goytacazes,Campos dos Goytacazes,1.1136319987335999,0.779237526916499,1.5957958854809744
3304003,pirai,Volta Redonda - Barra Mansa,1.1095754277081862,0.7936443224639785,1.5560144560812723
3301702,duque de caxias,Rio de Janeiro,1.0849294662342157,0.7765446737422436,1.520435638181149
3301876,iguaba grande,Macaé - Rio das Ostras - Cabo Frio,1.0719752104074507,0.7455659506022555,1.5452831942355834
3303500,nova iguacu,Rio de Janeiro,1.0551729554876563,0.751549144369074,1.48587376229036
3300456,belford roxo,Rio de Janeiro,1.049268158442491,0.7350740418167228,1.501805345883228
3302205,itaperuna,Campos dos Goytacazes,1.013532316483165,0.7231134050073421,1.4248665345548406
3305307,sao sebastiao do alto,Petrópolis,0.9859912756295155,0.6185099840234373,1.5742743116323767
3306008,tres rios,Petrópolis,0.9622026780172801,0.6855521881527177,1.3545253469170697
3305505,saquarema,Rio de Janeiro,0.9409778648059277,0.6612343564467065,1.3427527142787459
3300209,araruama,Macaé - Rio das Ostras - Cabo Frio,0.9176064840382703,0.633828530432864,1.3317533636493062
3300951,comendador levy gasparian,Petrópolis,0.9063112931358072,0.5846089471388453,1.407535279375622
