municipio,ibge_code,date,year,week,rainfall_effect_mean,rainfall_effect_sd,rainfall_effect_q025,rainfall_effect_q975,rainfall_relative_risk,rainfall_relative_risk_q025,rainfall_relative_risk_q975,municipio_norm,regiao_intermediaria_nome,municipality_order
niteroi,3303302,2022-08-01,2022,31,0.279520915393685,0.194859472919183,-0.102403651527914,0.661445482315283,1.32249607303168,0.902665115968057,1.93759106477547,niteroi,Rio de Janeiro,64
niteroi,3303302,2022-08-08,2022,32,0.281279430007668,0.195422467556523,-0.101748606403117,0.664307466418452,1.32482374772819,0.903256596053519,1.94314436253569,niteroi,Rio de Janeiro,64
niteroi,3303302,2022-08-15,2022,33,0.327024511811919,0.190316321410982,-0.0459954781536058,0.700044501777444,1.3868354706139,0.955046280753532,2.01384232503935,niteroi,Rio de Janeiro,64
niteroi,3303302,2022-08-22,2022,34,0.467067793867436,0.181847117781663,0.110647443015378,0.823488144719496,1.59530955195534,1.1170010309114,2.27843349838575,niteroi,Rio de Janeiro,64
niteroi,3303302,2022-08-29,2022,35,0.561913602957351,0.181684953822227,0.205811093465787,0.918016112448915,1.75402579978865,1.22852110640921,2.50431717475063,niteroi,Rio de Janeiro,64
niteroi,3303302,2022-09-05,2022,36,0.601002054189277,0.177346219923704,0.253403463138817,0.948600645239737,1.82394557727966,1.28840299510046,2.58209386467518,niteroi,Rio de Janeiro,64
niteroi,3303302,2022-09-12,2022,37,0.547456123060785,0.177634217212918,0.199293057323466,0.895619188798105,1.7288494389416,1.22053960156226,2.44885162161306,niteroi,Rio de Janeiro,64
niteroi,3303302,2022-09-19,2022,38,0.416398842976473,0.1745970761467,0.0741885737289405,0.758609112224004,1.51649058988885,1.07700988211774,2.13530418560266,niteroi,Rio de Janeiro,64
niteroi,3303302,2022-09-26,2022,39,0.331416965821105,0.172370509976191,-0.0064292337322293,0.669263165374439,1.39294047980727,0.99359138956995,1.95279790128367,niteroi,Rio de Janeiro,64
niteroi,3303302,2022-10-03,2022,40,0.198377283348206,0.171507700738818,-0.137777810099877,0.534532376796289,1.21942237480105,0.87129226258106,1.706649986493,niteroi,Rio de Janeiro,64
niteroi,3303302,2022-10-10,2022,41,0.122018117210688,0.171581686954292,-0.214281989219725,0.4583182236411,1.12977456995882,0.807120753577858,1.58141216573551,niteroi,Rio de Janeiro,64
niteroi,3303302,2022-10-17,2022,42,0.0882072071476471,0.168668413529258,-0.242382883369699,0.418797297664993,1.09221441321599,0.784755650134312,1.52013218921404,niteroi,Rio de Janeiro,64
niteroi,3303302,2022-10-24,2022,43,0.0717713468106422,0.171810441079817,-0.264977117705798,0.408519811327083,1.07440964878251,0.767223505608972,1.50458906036866,niteroi,Rio de Janeiro,64
niteroi,3303302,2022-10-31,2022,44,0.198687608716421,0.170511842477935,-0.135515602540332,0.532890819973173,1.2198008512209,0.873265537661414,1.70385072176766,niteroi,Rio de Janeiro,64
niteroi,3303302,2022-11-07,2022,45,0.292220360242831,0.171538199380505,-0.0439945105429595,0.628435231028621,1.33939813522033,0.956959210645105,1.87467484995765,niteroi,Rio de Janeiro,64
