model,model_label,date,observed_cases,predicted_cases,population,observed_incidence_per_100k,predicted_incidence_per_100k
S6,S6 rainfall-region,2018-02-12,541,567.0224337521133,14680781,3.6850900507268656,3.8623451555616377
S6,S6 rainfall-region,2018-02-19,712,533.0273888318799,14680781,4.849878218331845,3.6307835995365636
S6,S6 rainfall-region,2018-02-26,838,713.6675492970932,17098585,4.9009903451075045,4.173839819476835
S6,S6 rainfall-region,2018-03-05,1063,662.923637595721,17098585,6.216888707457372,3.8770672403343376
S6,S6 rainfall-region,2018-03-12,1131,787.091148639583,17098585,6.614582434745331,4.603253126732902
S6,S6 rainfall-region,2018-03-19,1075,1090.715872718939,17098585,6.287069953449365,6.378983247554924
S6,S6 rainfall-region,2018-03-26,1014,1075.5425357823922,17098585,5.930315286323401,6.290242939882992
S6,S6 rainfall-region,2018-04-02,1330,1246.4460889195873,17098585,7.778421430779213,7.289761631851919
S6,S6 rainfall-region,2018-04-09,1293,1102.6403321928024,17098585,7.562029255637236,6.44872269952632
S6,S6 rainfall-region,2018-04-16,1015,1107.9743296785389,17098585,5.9361637234894,6.479918248665249
S6,S6 rainfall-region,2018-04-23,830,923.6743591142583,17098585,4.854202847779509,5.402051451124513
S6,S6 rainfall-region,2018-04-30,1004,1392.290591329029,17098585,5.8718309146634065,8.142724040199987
S6,S6 rainfall-region,2018-05-07,835,1364.944538819031,17098585,4.883445033609506,7.982792370357144
S6,S6 rainfall-region,2018-05-14,765,966.510348477776,17098585,4.474054431989547,5.652575043360465
S6,S6 rainfall-region,2018-05-21,537,700.5419407253918,17098585,3.140610758141682,4.097075522479736
S6,S6 rainfall-region,2018-05-28,434,693.5413362952514,17098585,2.5382217300437437,4.056132927346043
S6,S6 rainfall-region,2018-06-04,403,562.1942420558701,17098585,2.356920177897762,3.287957699750418
S6,S6 rainfall-region,2018-06-11,410,445.08591262253054,17098585,2.3978592380597576,2.603056993444373
S6,S6 rainfall-region,2018-06-18,332,346.0506016077976,17098585,1.9416811391118036,2.0238551997594985
S6,S6 rainfall-region,2018-06-25,347,240.07203742867554,17098585,2.029407696601795,1.404046226215067
S6,S6 rainfall-region,2018-07-02,441,291.58481306689384,17098585,2.579160790205739,1.7053154577814118
S6,S6 rainfall-region,2018-07-09,337,261.16427674877616,17098585,1.9709233249418008,1.5274028625688978
S6,S6 rainfall-region,2018-07-16,299,205.71379517854743,16456078,1.8169578437827043,1.2500779054313391
S6,S6 rainfall-region,2018-07-23,285,245.3269989695877,17098585,1.6668045923098316,1.4347795385968354
S6,S6 rainfall-region,2018-07-30,194,236.6709069453247,17098585,1.1345968102038853,1.3841549282898247
S6,S6 rainfall-region,2018-08-06,236,197.63909975277383,17098585,1.3802311711758604,1.155879856448787
S6,S6 rainfall-region,2018-08-13,168,197.35480976341668,17098585,0.9825374438879007,1.1542172043091092
S6,S6 rainfall-region,2018-08-20,171,178.9578290772458,17098585,1.0000827553858989,1.046623618721934
S6,S6 rainfall-region,2018-08-27,158,126.38603066930695,17098585,0.9240530722279067,0.739160759029516
S6,S6 rainfall-region,2018-09-03,105,160.8441246902651,16678613,0.6295487520455089,0.9643735045010343
S6,S6 rainfall-region,2018-09-10,127,137.67430184660407,17098585,0.7427515200819249,0.8051795037227003
S6,S6 rainfall-region,2018-09-17,132,133.1509924477583,17098585,0.7719937059119221,0.7787252129211764
S6,S6 rainfall-region,2018-09-24,118,128.9012541147755,17098585,0.6901155855879302,0.7538708853087872
S6,S6 rainfall-region,2018-10-01,160,109.2352919922175,17098585,0.9357499465599055,0.6388557415260824
S6,S6 rainfall-region,2018-10-08,127,116.6034866191631,17098585,0.7427515200819249,0.6819481648286283
S6,S6 rainfall-region,2018-10-15,163,147.63722391342438,17098585,0.9532952580579036,0.8634470274202478
S6,S6 rainfall-region,2018-10-22,147,124.48322212315506,17098585,0.8597202634019132,0.7280323028084199
S6,S6 rainfall-region,2018-10-29,178,152.31654654192312,17098585,1.0410218155478947,0.8908137517924619
S6,S6 rainfall-region,2018-11-05,183,138.83993341087015,17098585,1.070264001377892,0.8119966266850159
S6,S6 rainfall-region,2018-11-12,170,150.62259894485996,17098585,0.9942343182198995,0.8809068057085424
S6,S6 rainfall-region,2018-11-19,240,185.04393407667806,17098585,1.403624919839858,1.0822178213967883
S6,S6 rainfall-region,2018-11-26,261,203.15786790277664,17098585,1.5264421003258457,1.1881560252077974
S6,S6 rainfall-region,2018-12-03,318,213.26231107667547,17098585,1.859803018787812,1.2472512262077562
S6,S6 rainfall-region,2018-12-10,339,217.56697998461297,17098585,1.9826201992737995,1.27242681183626
S6,S6 rainfall-region,2018-12-17,311,202.85341423726115,17098585,1.8188639586258162,1.1863754470750718
S6,S6 rainfall-region,2018-12-24,332,287.17123757917295,17098585,1.9416811391118036,1.679502938864081
S6,S6 rainfall-region,2018-12-31,448,455.153795992951,16456078,2.722398374630942,2.765870433969449
S6,S6 rainfall-region,2019-01-07,521,580.4328361942651,17098585,3.0470357634856917,3.394624971564987
S6,S6 rainfall-region,2019-01-14,549,573.1884948863882,17098585,3.2107920041336753,3.3522568966168147
S6,S6 rainfall-region,2019-01-21,599,785.544228306842,17098585,3.5032138624336455,4.5942060603660595
S6,S6 rainfall-region,2019-01-28,584,822.9969421461366,17098585,3.415487304943655,4.81324590395133
S6,S6 rainfall-region,2019-02-04,582,964.0191791880425,17098585,3.403790430611656,5.638005596299592
S6,S6 rainfall-region,2019-02-11,549,872.8384092974469,17098585,3.2107920041336753,5.104740592846992
S6,S6 rainfall-region,2019-02-18,561,900.881200346254,17098585,3.280973250125668,5.2687470942551915
S6,S6 rainfall-region,2019-02-25,627,945.3214252526134,17098585,3.6669701030816295,5.528652957262916
S6,S6 rainfall-region,2019-03-04,695,1029.2218255540035,16036106,4.333969855275339,6.41815304509713
S6,S6 rainfall-region,2019-03-11,871,1081.138749409913,16036106,5.431493156755137,6.741903236421067
S6,S6 rainfall-region,2019-03-18,1577,1188.5314557191368,17098585,9.222985410781067,6.95105153858718
S6,S6 rainfall-region,2019-03-25,1853,1241.9204077467007,17098585,10.837154068596904,7.263293469878945
S6,S6 rainfall-region,2019-04-01,2496,1570.7142488390618,17098585,14.597699166334525,9.186223590075214
S6,S6 rainfall-region,2019-04-08,2475,1878.8888162697644,17098585,14.474881985848537,10.988563183852726
S6,S6 rainfall-region,2019-04-15,2838,2667.2751787317725,17098585,16.597864677106323,15.599391287242614
S6,S6 rainfall-region,2019-04-22,3120,3042.9448836168144,17098585,18.247123957918156,17.796471951432324
S6,S6 rainfall-region,2019-04-29,3504,4174.788876510844,17098585,20.492923829661926,24.415990425586934
S6,S6 rainfall-region,2019-05-06,3837,3900.523337958589,17098585,22.44045340593973,22.811965656565082
S6,S6 rainfall-region,2019-05-13,3394,3775.5702124453633,17098585,19.84959574140199,22.081185153305746
S6,S6 rainfall-region,2019-05-20,3067,3267.3852686765463,17098585,17.937156788120188,19.109097440966877
S6,S6 rainfall-region,2019-05-27,2459,3144.397146119307,17098585,14.381306991192547,18.389809134026628
S6,S6 rainfall-region,2019-06-03,1809,3094.951948943611,17098585,10.57982283329293,18.10063200518412
S6,S6 rainfall-region,2019-06-10,1522,2428.6454483679227,17098585,8.9013213666511,14.203780303270255
S6,S6 rainfall-region,2019-06-17,1273,2317.7073939837046,17098585,7.445060512317247,13.554966062885931
S6,S6 rainfall-region,2019-06-24,1066,1542.043898959497,17098585,6.23443401895537,9.01854685027736
S6,S6 rainfall-region,2019-07-01,1046,1384.567452421024,17098585,6.117465275635382,8.097555747572233
S6,S6 rainfall-region,2019-07-08,612,1082.3380648593838,17098585,3.579243545591638,6.3299861646995
S6,S6 rainfall-region,2019-07-15,515,873.8022387211693,17098585,3.0119451404896957,5.110377488670374
S6,S6 rainfall-region,2019-07-22,362,755.3682901450045,17098585,2.117134254091786,4.417723982101469
S6,S6 rainfall-region,2019-07-29,344,607.226145203846,17098585,2.0118623851037967,3.551323955776727
S6,S6 rainfall-region,2019-08-05,311,385.5088912462395,17098585,1.8188639586258162,2.2546245273877314
S6,S6 rainfall-region,2019-08-12,303,364.1210402274796,17098585,1.7720764612978208,2.1295390245887575
