municipio,year,week,date,cases,predicted_cases,municipio_norm,population,model,model_label,observed_incidence_per_100k,predicted_incidence_per_100k
angra dos reis,2020,42,2020-10-12,1,2.68660379676951,angra dos reis,207044,S6,S6 rainfall-region,0.4829891230849482,1.297600411878398
angra dos reis,2020,43,2020-10-19,0,1.45449860242908,angra dos reis,207044,S6,S6 rainfall-region,0.0,0.702507004515504
angra dos reis,2020,44,2020-10-26,3,1.48167741050093,angra dos reis,207044,S6,S6 rainfall-region,1.4489673692548444,0.715634073192621
angra dos reis,2020,45,2020-11-02,4,0.989692661349001,angra dos reis,207044,S6,S6 rainfall-region,1.9319564923397927,0.47801079062856255
angra dos reis,2020,46,2020-11-09,1,1.3527429657908,angra dos reis,207044,S6,S6 rainfall-region,0.4829891230849482,0.6533601388066304
angra dos reis,2020,47,2020-11-16,1,1.17961365279309,angra dos reis,207044,S6,S6 rainfall-region,0.4829891230849482,0.569740563741567
angra dos reis,2020,48,2020-11-23,0,3.327171404632,angra dos reis,207044,S6,S6 rainfall-region,0.0,1.6069875990765248
angra dos reis,2020,49,2020-11-30,2,4.42264864387932,angra dos reis,207044,S6,S6 rainfall-region,0.9659782461698964,2.1360911902201076
angra dos reis,2020,50,2020-12-07,0,2.3898723107202,angra dos reis,207044,S6,S6 rainfall-region,0.0,1.1542823316397481
angra dos reis,2020,51,2020-12-14,2,1.49842021570725,angra dos reis,207044,S6,S6 rainfall-region,0.9659782461698964,0.7237206659972034
angra dos reis,2020,52,2020-12-21,2,1.15781229420898,angra dos reis,207044,S6,S6 rainfall-region,0.9659782461698964,0.5592107446769672
angra dos reis,2021,1,2021-01-04,1,0.945012796922851,angra dos reis,207044,S6,S6 rainfall-region,0.4829891230849482,0.45643090208982195
angra dos reis,2021,2,2021-01-11,0,2.68945366391884,angra dos reis,207044,S6,S6 rainfall-region,0.0,1.2989768667137616
angra dos reis,2021,3,2021-01-18,0,2.85345416876747,angra dos reis,207044,S6,S6 rainfall-region,0.0,1.3781873267360898
angra dos reis,2021,5,2021-02-01,1,2.08555247386017,angra dos reis,207044,S6,S6 rainfall-region,0.4829891230849482,1.0072991604973678
angra dos reis,2021,6,2021-02-08,3,1.23598700285164,angra dos reis,207044,S6,S6 rainfall-region,1.4489673692548444,0.5969682786517069
angra dos reis,2021,7,2021-02-15,0,1.18116573311788,angra dos reis,207044,S6,S6 rainfall-region,0.0,0.5704902016565947
angra dos reis,2021,13,2021-03-29,5,2.81322935036655,angra dos reis,207044,S6,S6 rainfall-region,2.414945615424741,1.3587591769703784
angra dos reis,2021,14,2021-04-05,10,1.62025774116611,angra dos reis,207044,S6,S6 rainfall-region,4.829891230849482,0.7825668655774185
angra dos reis,2021,15,2021-04-12,2,5.07661718678271,angra dos reis,207044,S6,S6 rainfall-region,0.9659782461698964,2.4519508832821573
angra dos reis,2021,16,2021-04-19,4,4.02152877033135,angra dos reis,207044,S6,S6 rainfall-region,1.9319564923397927,1.9423546542432284
angra dos reis,2021,17,2021-04-26,4,6.18925674993929,angra dos reis,207044,S6,S6 rainfall-region,1.9319564923397927,2.9893436902007737
angra dos reis,2021,18,2021-05-03,3,11.877252615641,angra dos reis,207044,S6,S6 rainfall-region,1.4489673692548444,5.736583825486853
angra dos reis,2021,19,2021-05-10,3,4.07074199380602,angra dos reis,207044,S6,S6 rainfall-region,1.4489673692548444,1.9661241058934427
