date,year,week,total_cases,municipalities,state_population,incidence_per_100k,rolling_4wk_incidence_per_100k
2018-09-10,2018,37,127,92,17195818.0,0.7385516641313603,0.7589054501507285
2018-09-17,2018,38,132,92,17195818.0,0.7676285013018863,0.7036594595267291
2018-09-24,2018,39,120,92,17195818.0,0.6978440920926239,0.7850746036042019
2018-10-01,2018,40,161,92,17195818.0,0.9362741568909371,0.7850746036042019
2018-10-08,2018,41,127,92,17195818.0,0.7385516641313603,0.8315975430770435
2018-10-15,2018,42,164,92,17195818.0,0.9537202591932528,0.8708512732572535
2018-10-22,2018,43,147,92,17195818.0,0.8548590128134642,0.8955665848522008
2018-10-29,2018,44,178,92,17195818.0,1.0351354032707256,0.9798894126467261
2018-11-05,2018,45,185,92,17195818.0,1.075842975309462,0.9886124637978839
2018-11-12,2018,46,170,92,17195818.0,0.9886124637978838,1.1252735984993563
2018-11-19,2018,47,241,92,17195818.0,1.401503551619353,1.2473963146155653
2018-11-26,2018,48,262,92,17195818.0,1.523626267735562,1.440757281799563
2018-12-03,2018,49,318,92,17195818.0,1.8492868440454533,1.6864565558905078
2018-12-10,2018,50,339,92,17195818.0,1.9714095601616624,1.7882254859873485
2018-12-17,2018,51,311,92,17195818.0,1.808579272006717,1.8899944160841897
2018-12-24,2018,52,332,92,17195818.0,1.9307019881229261,2.103709169287556
2018-12-31,2019,1,465,92,17195818.0,2.7041458568589176,2.3683083875393427
2019-01-07,2019,2,521,92,17195818.0,3.029806433168809,2.714322749868602
2019-01-14,2019,3,549,92,17195818.0,3.1926367213237548,3.1054062098121764
2019-01-21,2019,4,601,92,17195818.0,3.4950358278972247,3.2798672328353327
2019-01-28,2019,5,585,92,17195818.0,3.4019899489515417,3.370005428063963
2019-02-04,2019,6,583,92,17195818.0,3.390359214083331,3.370005428063963
2019-02-11,2019,7,549,92,17195818.0,3.1926367213237548,3.314759437439964
2019-02-18,2019,8,563,92,17195818.0,3.274051865401227,3.378728479215121
2019-02-25,2019,9,629,92,17195818.0,3.6578661160521704,3.769811939158696
2019-03-04,2019,10,852,92,17195818.0,4.95469305385763,4.6101325333868965
2019-03-11,2019,11,1127,92,17195818.0,6.553919098236559,6.087235861649617
2019-03-18,2019,12,1579,92,17195818.0,9.18246517845211,7.879822873212546
2019-03-25,2019,13,1862,92,17195818.0,10.828214162303881,10.277208097922413
2019-04-01,2019,14,2501,92,17195818.0,14.544233952697104,12.250071499942603
2019-04-08,2019,15,2484,92,17195818.0,14.445372706317317,14.092089134695424
2019-04-15,2019,16,2846,92,17195818.0,16.550535717463397,15.92538371829709
2019-04-22,2019,17,3123,92,17195818.0,18.161392496710537,17.39812552098423
2019-04-29,2019,18,3514,92,17195818.0,20.43520116344567,19.38698118344821
2019-05-06,2019,19,3852,92,17195818.0,22.40079535617323,20.21130951723262
2019-05-13,2019,20,3413,92,17195818.0,19.847849052601045,20.150248159174517
2019-05-20,2019,21,3081,92,17195818.0,17.91714706447812,18.625168049580427
2019-05-27,2019,22,2465,92,17195818.0,14.334880725069317,15.675322918630563
2019-06-03,2019,23,1823,92,17195818.0,10.601414832373777,12.93483101530849
2019-06-10,2019,24,1528,92,17195818.0,8.885881439312744,10.313554144385572
2019-06-17,2019,25,1278,92,17195818.0,7.432039580786445,8.289806277316961
2019-06-24,2019,26,1073,92,17195818.0,6.2398892567948785,7.163078836959079
2019-07-01,2019,27,1048,92,17195818.0,6.094505070942248,5.8328135364075155
2019-07-08,2019,28,613,92,17195818.0,3.5648202371064874,4.726439882069
2019-07-15,2019,29,517,92,17195818.0,3.006544963432388,3.692758320656801
2019-07-22,2019,30,362,92,17195818.0,2.105163011146082,2.6707074941128126
2019-07-29,2019,31,345,92,17195818.0,2.0063017647662935,2.2360087784134492
2019-08-05,2019,32,314,92,17195818.0,1.8260253743090327,1.9263404625473473
2019-08-12,2019,33,304,92,17195818.0,1.7678716999679804,1.7039026581928232
2019-08-19,2019,34,209,92,17195818.0,1.2154117937279867,1.4814648538382995
2019-08-26,2019,35,192,92,17195818.0,1.1165505473481983,1.3593421377220902
2019-09-02,2019,36,230,92,17195818.0,1.3375345098441958,1.187788798415987
2019-09-09,2019,37,186,92,17195818.0,1.081658342743567,1.148535068235777
2019-09-16,2019,38,182,92,17195818.0,1.0583968730071462,1.1514427519528294
2019-09-23,2019,39,194,92,17195818.0,1.1281812822164086,1.0685737660168302
2019-09-30,2019,40,173,92,17195818.0,1.0060585661001995,1.052581505573041
2019-10-07,2019,41,175,92,17195818.0,1.0176893009684098,1.0613045567241988
2019-10-14,2019,42,188,92,17195818.0,1.0932890776117774,1.0351354032707254
2019-10-21,2019,43,176,92,17195818.0,1.023504668402515,1.048219979997462
2019-10-28,2019,44,182,92,17195818.0,1.0583968730071462,1.0656660822997777
2019-11-04,2019,45,187,92,17195818.0,1.0874737101776724,1.0802045008850407
2019-11-11,2019,46,198,92,17195818.0,1.1514427519528294,1.0554891892900935
2019-11-18,2019,47,159,92,17195818.0,0.9246434220227266,1.0874737101776724
2019-11-25,2019,48,204,92,17195818.0,1.1863349565574606,1.1092813380555668
2019-12-02,2019,49,202,92,17195818.0,1.1747042216892503,1.2023272170012498
2019-12-09,2019,50,262,92,17195818.0,1.523626267735562,1.3346268261271432
2019-12-16,2019,51,250,92,17195818.0,1.4538418585263,1.3200884075418804
2019-12-23,2019,52,194,92,17195818.0,1.1281812822164086,1.3898728167511427
2019-12-30,2020,1,250,92,17195818.0,1.4538418585263,1.5875953095107196
2020-01-06,2020,2,398,92,17195818.0,2.3145162387738694,1.881271364933032
2020-01-13,2020,3,452,92,17195818.0,2.62854608021555,2.2054780993843965
2020-01-20,2020,4,417,92,17195818.0,2.425008220021868,2.458446582767973
2020-01-27,2020,5,424,92,17195818.0,2.4657157920606045,2.4613542664850256
2020-02-03,2020,6,400,92,17195818.0,2.32614697364208,2.4686234757776573
2020-02-10,2020,7,457,92,17195818.0,2.657622917386076,2.5355002012698673
2020-02-17,2020,8,463,92,17195818.0,2.6925151219907075,2.4991541548067095
2020-02-24,2020,9,399,92,17195818.0,2.3203316062079744,2.532592517552814
2020-03-02,2020,10,423,92,17195818.0,2.4599004246264995,2.452631215333868
2020-03-09,2020,11,402,92,17195818.0,2.33777770851029,2.132786006458082
2020-03-16,2020,12,243,92,17195818.0,1.4131342864875636,1.827479216167559
2020-03-23,2020,13,189,92,17195818.0,1.0991044450458827,1.5076340072917729
2020-03-30,2020,14,203,92,17195818.0,1.1805195891233553,1.1936041658500922
2020-04-06,2020,15,186,92,17195818.0,1.081658342743567,1.1310889659334613
2020-04-13,2020,16,200,92,17195818.0,1.16307348682104,1.106373654338514
2020-04-20,2020,17,172,92,17195818.0,1.0002431986660942,1.0438584544218834
2020-04-27,2020,18,160,92,17195818.0,0.9304587894568319,0.9726202033540947
2020-05-04,2020,19,137,92,17195818.0,0.7967053384724123,0.867943589540201
2020-05-11,2020,20,128,92,17195818.0,0.7443670315654656,0.8446821198037802
2020-05-18,2020,21,156,92,17195818.0,0.9071973197204111,0.7589054501507285
2020-05-25,2020,22,101,92,17195818.0,0.5873521108446251,0.6716749386391505
2020-06-01,2020,23,77,92,17195818.0,0.4477832924261003,0.6135212642980985
2020-06-08,2020,24,88,92,17195818.0,0.5117523342012575,0.5291984365035731
2020-06-15,2020,25,98,92,17195818.0,0.5699060085423096,0.5175677016353627
2020-06-22,2020,26,93,92,17195818.0,0.5408291713717835,0.5248369109279942
2020-06-29,2020,27,82,92,17195818.0,0.4768601295966264,0.5190215434938891
2020-07-06,2020,28,84,92,17195818.0,0.48849086446483675,0.4957600737574683
2020-07-13,2020,29,82,92,17195818.0,0.4768601295966264,0.48994470632336307
2020-07-20,2020,30,89,92,17195818.0,0.5175677016353628,0.465229394728416
2020-07-27,2020,31,65,92,17195818.0,0.37799888321683794,0.4056218785288377
2020-08-03,2020,32,43,92,17195818.0,0.25006079966652356,0.3431066786122068
2020-08-10,2020,33,39,92,17195818.0,0.22679932993010277,0.2849530042711548
2020-08-17,2020,34,49,92,17195818.0,0.2849530042711548,0.24860695780799727
2020-08-24,2020,35,40,92,17195818.0,0.23261469736420798,0.29367605542231257
2020-08-31,2020,36,74,92,17195818.0,0.43033719012378474,0.32275289259283857
2020-09-07,2020,37,59,92,17195818.0,0.3431066786122068,0.33729131117810157
2020-09-14,2020,38,59,92,17195818.0,0.3431066786122068,0.363460464631575
2020-09-21,2020,39,58,92,17195818.0,0.33729131117810157,0.334383627461049
2020-09-28,2020,40,54,92,17195818.0,0.3140298414416808,0.319845208875786
2020-10-05,2020,41,49,92,17195818.0,0.2849530042711548,0.3183913670172597
2020-10-12,2020,42,58,92,17195818.0,0.33729131117810157,0.3387451530366279
2020-10-19,2020,43,72,92,17195818.0,0.4187064552555744,0.33438362746104894
2020-10-26,2020,44,51,92,17195818.0,0.29658373913936514,0.3387451530366279
2020-11-02,2020,45,52,92,17195818.0,0.30239910657347036,0.35909893905599605
2020-11-09,2020,46,72,92,17195818.0,0.4187064552555744,0.35619125533894347
2020-11-16,2020,47,70,92,17195818.0,0.407075720387364,0.3620066227730487
2020-11-23,2020,48,55,92,17195818.0,0.319845208875786,0.3954449855191536
2020-11-30,2020,49,75,92,17195818.0,0.43615255755788995,0.3765450413583117
2020-12-07,2020,50,59,92,17195818.0,0.3431066786122068,0.33147594374399636
2020-12-14,2020,51,39,92,17195818.0,0.22679932993010277,0.3009452647149441
2020-12-21,2020,52,34,92,17195818.0,0.19772249275957676,0.27332226940294435
2021-01-04,2021,1,56,92,17195818.0,0.32566057630989115,0.26896074382736546
2021-01-11,2021,2,56,92,17195818.0,0.32566057630989115,0.30966831586610183
2021-01-18,2021,3,67,92,17195818.0,0.3896296180850483,0.3663681483486276
2021-01-25,2021,4,73,92,17195818.0,0.4245218226896796,0.36927583206568015
2021-02-01,2021,5,58,92,17195818.0,0.33729131117810157,0.38672193436799573
2021-02-08,2021,6,68,92,17195818.0,0.3954449855191535,0.38381425065094316
2021-02-15,2021,7,65,92,17195818.0,0.37799888321683794,0.40852956224589027
2021-02-22,2021,8,90,92,17195818.0,0.523383069069468,0.45214481800167927
2021-03-01,2021,9,88,92,17195818.0,0.5117523342012575,0.5742675341178884
2021-03-08,2021,10,152,92,17195818.0,0.8839358499839902,0.8054283896235701
2021-03-15,2021,11,224,92,17195818.0,1.3026423052395646,0.9653509940614631
2021-03-22,2021,12,200,92,17195818.0,1.16307348682104,1.2095964262938814
2021-03-29,2021,13,256,92,17195818.0,1.4887340631309312,1.4552957003848261
2021-04-05,2021,14,321,92,17195818.0,1.8667329463477689,1.4756494864041945
2021-04-12,2021,15,238,92,17195818.0,1.3840574493170374,1.5207185840185096
2021-04-19,2021,16,231,92,17195818.0,1.343349877278301,1.4858263794138784
2021-04-26,2021,17,232,92,17195818.0,1.3491652447124063,1.275019309927565
