municipio,ibge_code,rainfall_municipality_slope_idx,rainfall_effect_mean,rainfall_effect_sd,rainfall_effect_q025,rainfall_effect_q975,rainfall_relative_risk,rainfall_relative_risk_q025,rainfall_relative_risk_q975
quissama,3304151,62,0.08512596645729,0.137910713845179,-0.185179032679261,0.355430965593841,1.08885421716828,0.830955502344215,1.42679542153633
resende,3304201,63,0.0430805481352631,0.0714719164669444,-0.0970044081399478,0.183165504410474,1.044021985488,0.907552005508205,1.20101316460862
rio bonito,3304300,64,0.137689830796965,0.116974912067617,-0.0915809968555644,0.366960658449495,1.14761953882739,0.912487404548237,1.44334113472004
rio claro,3304409,65,0.185153503735984,0.146144003744635,-0.1012887436035,0.471595751075468,1.20340315283014,0.903672065682745,1.60254942388575
rio das flores,3304508,66,0.594562002407356,0.144909861115998,0.31053867462,0.878585330194713,1.81223701565313,1.36415975448572,2.40749149071729
rio das ostras,3304524,67,0.111443434268702,0.0941449446824277,-0.0730806573088562,0.295967525846261,1.11789050792296,0.929525853948257,1.34442649701039
rio de janeiro,3304557,68,0.0534991950160376,0.0900223048108978,-0.122944522413322,0.229942912445397,1.05495614254447,0.884312720735609,1.25852816158353
santa maria madalena,3304607,69,0.498518554416897,0.227840983818852,0.0519502261319461,0.945086882701847,1.64628058817143,1.05332331323296,2.57303692127686
santo antonio de padua,3304706,70,0.423731883671227,0.0924921782649898,0.242447214271847,0.605016553070607,1.52765195043788,1.27436397915741,1.83128252198377
sao fidelis,3304805,71,0.807606490837675,0.13774197343284,0.537632222909307,1.07758075876604,2.24253403218452,1.71194854693807,2.93756427113441
sao francisco de itabapoana,3304755,72,0.600750916359988,0.138693217221119,0.328912210606595,0.87258962211338,1.82348757306014,1.38945587074515,2.39310006104876
sao goncalo,3304904,73,0.0490793088474959,0.103865979427295,-0.154498010830003,0.252656628524995,1.05030364580864,0.856845196551159,1.28744113036882
sao joao da barra,3305000,74,0.744971019759622,0.186264433631878,0.379892729841141,1.1100493096781,2.10638039068614,1.46212773834689,3.03450802136035
sao joao de meriti,3305109,75,0.260719443514534,0.0986962071197889,0.0672748775597478,0.454164009469321,1.29786349033077,1.06958944390673,1.57485626763577
sao jose de uba,3305133,76,0.153781615387357,0.110944432574651,-0.063669472458959,0.371232703233674,1.166236170932,0.938315087260153,1.44952034221426
sao jose do vale do rio preto,3305158,77,0.354811564447004,0.160503726536396,0.0402242604356678,0.66939886845834,1.42591193646001,1.04104421304463,1.95306291996263
sao pedro da aldeia,3305208,78,0.390719711247722,0.126139959290642,0.143485391038063,0.637954031457381,1.47804417619087,1.15428994770602,1.89260470570098
sao sebastiao do alto,3305307,79,-0.0833516812214798,0.184323642464762,-0.444626020452413,0.277922658009453,0.920027533912177,0.641063976023806,1.32038407212744
sapucaia,3305406,80,0.395679381464008,0.0933421752631336,0.212728717948266,0.57863004497975,1.48539299666885,1.23704901652452,1.78359331366813
