municipio,ibge_code,year,week,date,cases,rainfall_lag,temperature_lag,fitted_mu,nb_size,nb_variance,pearson_residual,residual_direction
laje do muriae,3302304,2019,8,2019-02-18,0,57.4072212,25.7959184286,0.271746332555451,0.978497577725951,0.347215164505917,-0.46117350581165,overpredicted
laje do muriae,3302304,2019,9,2019-02-25,0,52.2161108,28.5000001429,0.317865514164236,0.978497577725951,0.421124313567408,-0.489821963616008,overpredicted
laje do muriae,3302304,2019,10,2019-03-04,0,50.956108,29.9489795714,0.320900573940482,0.978497577725951,0.426140669265656,-0.491579769991867,overpredicted
laje do muriae,3302304,2019,11,2019-03-11,0,37.336665,30.3061228571,0.382724068042923,0.978497577725951,0.532420618748486,-0.524515517752979,overpredicted
laje do muriae,3302304,2019,12,2019-03-18,0,36.162777,26.798186,0.328526990208227,0.978497577725951,0.438828728048098,-0.495933595687034,overpredicted
laje do muriae,3302304,2019,13,2019-03-25,0,35.8711122,24,0.293918244403252,0.978497577725951,0.382204548181189,-0.475421282756615,overpredicted
laje do muriae,3302304,2019,14,2019-04-01,0,30.986667,26.5102041429,0.290261390913961,0.978497577725951,0.376364491190519,-0.473134863642541,overpredicted
laje do muriae,3302304,2019,15,2019-04-08,0,42.4599999,28.8979588571,0.272015995245508,0.978497577725951,0.347634681846005,-0.461352516346129,overpredicted
laje do muriae,3302304,2019,16,2019-04-15,0,44.4266669,27.4285714286,0.261456472808997,0.978497577725951,0.331318155382183,-0.454231010827752,overpredicted
laje do muriae,3302304,2019,17,2019-04-22,3,35.3111101,26.2959182857,0.240748365054221,0.978497577725951,0.299981802719934,5.03783400142019,underpredicted
laje do muriae,3302304,2019,18,2019-04-29,2,36.9533329,27.0918367143,0.279790145871804,0.978497577725951,0.359792925141729,2.86784134474493,underpredicted
laje do muriae,3302304,2019,19,2019-05-06,0,32.73,25.1632651429,0.260927193378,0.978497577725951,0.330506313238824,-0.453867894639451,overpredicted
laje do muriae,3302304,2019,20,2019-05-13,0,22.8044446,25.9372057143,0.291291500794887,0.978497577725951,0.378006828831296,-0.473781381883607,overpredicted
laje do muriae,3302304,2019,21,2019-05-20,0,20.311111,27.2291994286,0.779368422210478,0.978497577725951,1.40013146891162,-0.658655612780901,overpredicted
laje do muriae,3302304,2019,22,2019-05-27,0,18.0061108,25.0081634286,0.482861962687591,0.978497577725951,0.721141218883984,-0.568607829584188,overpredicted
laje do muriae,3302304,2019,23,2019-06-03,0,15.3961108,24.6428571429,0.180846404701519,0.978497577725951,0.214270526373311,-0.390686730618926,overpredicted
laje do muriae,3302304,2019,24,2019-06-10,0,12.03500005,23.7857142857,0.153032268070646,0.978497577725951,0.176965771437381,-0.363779631009334,overpredicted
laje do muriae,3302304,2019,25,2019-06-17,0,10.96611125,22.5714285714,0.144050101809388,0.978497577725951,0.165256523065452,-0.354351490609167,overpredicted
laje do muriae,3302304,2019,26,2019-06-24,0,11.655,22.8877552857,0.107466941836904,0.978497577725951,0.119269877123281,-0.311178443763891,overpredicted
laje do muriae,3302304,2019,27,2019-07-01,0,10.1316666,25.1028257143,0.115969757598643,0.978497577725951,0.129714282862306,-0.321996276711688,overpredicted
laje do muriae,3302304,2019,28,2019-07-08,0,7.7544444,24.9489794286,0.114918692251293,0.978497577725951,0.128415205813891,-0.320687807987809,overpredicted
laje do muriae,3302304,2019,29,2019-07-15,0,7.385,20.8367347143,0.0997846449932348,0.978497577725951,0.109960424272695,-0.300916161379832,overpredicted
laje do muriae,3302304,2019,30,2019-07-22,0,5.34833342,22.0612245714,0.101444889641016,0.978497577725951,0.111962100790577,-0.303175885471441,overpredicted
laje do muriae,3302304,2019,31,2019-07-29,0,5.64555568,22.7244898571,0.0804312222517957,0.978497577725951,0.0870425636185799,-0.272620701890849,overpredicted
laje do muriae,3302304,2019,32,2019-08-05,0,6.4944446,23.6530611429,0.0880906956109402,0.978497577725951,0.0960211911276011,-0.284280123151909,overpredicted
laje do muriae,3302304,2019,33,2019-08-12,0,3.97833338,22.5204084286,0.092106100640927,0.978497577725951,0.100776059533408,-0.290141405256793,overpredicted
laje do muriae,3302304,2019,34,2019-08-19,0,3.85611122,19.9387754286,0.0864977740696172,0.978497577725951,0.0941440524961684,-0.281908705313891,overpredicted
laje do muriae,3302304,2019,35,2019-08-26,0,3.92833344,19.9387754286,0.083346497666196,0.978497577725951,0.0904457882841302,-0.27713615087516,overpredicted
laje do muriae,3302304,2019,36,2019-09-02,0,4.91166648,21.9693877143,0.0909856865905019,0.978497577725951,0.0994459989640738,-0.288522322410137,overpredicted
laje do muriae,3302304,2019,37,2019-09-09,0,4.45666648,20.6632652857,0.0940550214649141,0.978497577725951,0.103095766443889,-0.29292846178422,overpredicted
laje do muriae,3302304,2019,38,2019-09-16,0,5.3961109,20.2244897143,0.0904470979768154,0.978497577725951,0.0988075453796998,-0.287739564330119,overpredicted
laje do muriae,3302304,2019,39,2019-09-23,0,5.7127777,20.2142857143,0.096112497943638,0.978497577725951,0.105553106148754,-0.295831459155597,overpredicted
laje do muriae,3302304,2019,40,2019-09-30,0,6.01833345,20.7551021429,0.111213641090787,0.978497577725951,0.123853911487179,-0.316011724743543,overpredicted
laje do muriae,3302304,2019,41,2019-10-07,0,5.71000015,21.1632654286,0.102702540755822,0.978497577725951,0.113482140131239,-0.304871922222797,overpredicted
laje do muriae,3302304,2019,42,2019-10-14,0,9.2672223,23.1428574286,0.115090486007676,0.978497577725951,0.128627382031748,-0.320902210561152,overpredicted
laje do muriae,3302304,2019,43,2019-10-21,0,10.2922223,24.1785714286,0.118595110956598,0.978497577725951,0.132968984395809,-0.325230756942266,overpredicted
laje do muriae,3302304,2019,44,2019-10-28,0,13.0366667,25.8214282857,0.115833416498039,0.978497577725951,0.129545642959336,-0.321826987947293,overpredicted
